"PanelAPP.Gene.Symbol","PanelAPP.Model_Of_Inheritance","PanelAPP.Phenotypes","PanelAPP.UserRatings_Green_amber_red","PanelAPP.EnsemblId.GRch37"
"TNFRSF13B","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Immunodeficiency, common variable, 2;Immunoglobulin A deficiency 2, 609529;Immunodeficiency, common variable, 2, 240500;Common variable immunodeficiency disorders (CVID);Selective IgA deficiency;IgA with IgG subclass deficiency;Isolated IgG subclass deficiency;CVID;IGAD;Variable clinical expression;Predominantly Antibody Deficiencies","0;20;80","ENSG00000240505"
"TNFRSF4","BIALLELIC, autosomal or pseudoautosomal","Kaposi's Sarcoma, impaired immunity to HHV8, OX40 deficiency;Combined immunodeficiency;Impaired immunity to HHV8, Kaposis sarcoma;Immunodeficiencies affecting cellular and humoral immunity","0;50;50","ENSG00000186827"
"TNFSF11","","Osteopetrosis with severe growth retardation;Defects in Intrinsic and Innate Immunity","0;0;0","ENSG00000120659"
"TNFSF12","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Immunodeficiency, common variable with lack of anti-pneumococcal antibody;Common variable immunodeficiency disorders (CVID);Pneumonia, bacterial infections, warts, thrombocytopenia. neutropenia;Predominantly Antibody Deficiencies","0;50;50","ENSG00000239697"
"TRAF3","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","{?Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 5},614849;Herpes simplex encephalitis, susceptibility to, 3;Herpetic encephalitis (HSE);Herpes simplex virus 1 encephalitis;Defects in Intrinsic and Innate Immunity","0;33;67","ENSG00000131323"
"TRAF3IP2","BIALLELIC, autosomal or pseudoautosomal","Candidiasis, familial, 8 615527;Chronic mucocutaneous candidiasis (CMC);CMC, blepharitis, folliculitis and macroglossia;Defects in Intrinsic and Innate Immunity","0;33;67","ENSG00000056972"
"UNC119","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Immunodeficiency 13/ UNC119 deficiency;Combined immunodeficiency;Immunodeficiency 13 615518","0;33;67","ENSG00000109103"
"USP18","","TORCH like syndrome;Autoinflammatory Disorders","0;0;0","ENSG00000184979"
"WDR1","","Mild neutropenia, poor wound healing, severe stomatitis, neutrophil nuclei herniate;Congenital defects of phagocyte number or function","0;0;0","ENSG00000071127"
"WRAP53","","Intrauterine growth retardation, microcephaly, nail dystrophy, sparse scalp hair and eyelashes, hyperpigmentation of skin, palmar hyperkeratosis, premalignant oral leukoplakia, pancytopenia, myelodysplasia, +/- recurrent infections. A severe phenotype with developmental delay and cerebellar hypoplasia known as Hoyeraal-Hreidarsson Syndrome (HHS) may occur in some DKC patients;Combined immunodeficiencies with associated or syndromic features","0;0;0","ENSG00000141499"
